code,latitude,longitude,ipnitypes_nodes.node_id,ipnitypes_nodes.type_holder_code
NH,-29.85722,31.012501,374,NH
,,,375,CRVD
CUZ,-13.521628,-71.959389,376,CUZ
IAN,-1.436323,-48.449066,377,IAN
RAW,33.720043,73.095826,378,RAW
FAU,26.083723,-80.237244,379,FAU
LUH,6.51255,3.388231,380,LUH
NENU,43.869892,125.327148,381,NENU
ODU,36.887464,-76.30309,382,ODU
CALI,11.249243,75.777306,383,CALI
BOLV,-17.39388889,-66.14444444,384,BOLV
CONN,41.809891,-72.258438,385,CONN
CPUN,-7.2068,-78.4316,386,CPUN
MADJ,32.655411,-16.911818,387,MADJ
,,,388,UFP(17576) (17576)
,,,389,MAYOTTE
MSTR,51.945942,7.58802,390,MSTR
XJU,43.77758,87.578735,391,XJU
,,,392,Herb. Inst. Bot. Boreali-occident. Acad. Sin.
,,,393,Herb. North-West Plateau Inst. Biol. Acad. Sin. Xining.
,,,394,AIC
COI,40.2068718,-8.4227411,395,COI
KPM,35.2409,139.122,396,KPM
XJA,43.799999,87.583328,397,XJA
UPM,3.003613,101.708931,398,UPM
,,,399,Herb. China Pharmaceutical University
,,,400,Chengdu Second Institute for Drug Control
TAIF,25.031344,121.510232,401,TAIF
ABH,38.3452,-0.48101,402,ABH
,,,403,SDNU?
JEPS,37.871419,-122.262447,404,JEPS
SFSU,37.720791,-122.477028,405,SFSU
JRAU,-26.184372,28.009552,406,JRAU
ASC,35.19163,-111.65332,407,ASC
GUH,30.24295,78.895081,408,GUH
DS,37.770241,-122.466789,409,DS
DHL,38.232159,-85.671722,410,DHL
OBI,35.299393,-120.660057,411,OBI
HCIB,24.148785,-110.306061,412,HCIB
CORD,-31.383123,-64.201546,413,CORD
,,,414,HERB. VASQUEZIANUM
,,,415,UNALM
MERF,8.59833,-71.144997,416,MERF
,,,417,HAL (NO. 078526) (NO.
MNHN,23.13833,-82.364166,418,MNHN
UFG,-16.629566,-49.30302,419,UFG
,,,420,"Herbarium, Field Museum of Natural History #2027197"
,,,421,Philippine National Herbarium #2027197
,,,422,Arnold Arboretum #2027197
ZM,30.2553,102.1689,423,ZM
SMAO,22.757076,100.972,424,SMAO
,,,425,"Madras University Herbarium, Chennai"
EGE,38.459568,27.209532,426,EGE
,,,427,UB(68) (68)
PSU,7.017222,100.51503,428,PSU
HAN,52.377222,9.754558,429,HAN
BAA,-34.595539,-58.482796,430,BAA
LIL,-26.84033,-65.222771,431,LIL
AMAZ,-3.739145,-73.25325,432,AMAZ
,,,433,HGCM
VIC,-20.754238,-42.882229,434,VIC
,,,435,HFGP
PE,39.969683,116.207739,436,PE
MAN,-0.856387,134.07732,437,MAN
,,,438,herb. Fco. Gómiz
CAN,45.4443,-75.8115,439,CAN
,,,440,"Herbarium Instituti Botanici, Mutina"
,,,441,Herb. R. Soca
,,,442,P. Rabaute
BCMEX,31.8664,-116.669022,443,BCMEX
ERE,40.181129,44.513641,444,ERE
COA,37.86935,-4.78438,445,COA
MGC,36.71567567,-4.472913781,446,MGC
,,,447,Herb. J.J. Halda
,,,448,Baokang Forestry Research Institute
,,,449,Wuhu Municipal Drug Bureau
CAF,39.994598,116.285019,450,CAF
,,,451,AAB
ICN,-30.06562,-51.118011,452,ICN
LOJA,-3.991635,-79.204346,453,LOJA
QAME,-0.229675,-78.524612,454,QAME
CUVC,3.371426,-76.536519,455,CUVC
LMA,-26.005415,32.446526,456,LMA
NEU,46.999512,6.948589,457,NEU
,,,458,"Herbarium, University of California"
NEFI,45.739349,126.652008,459,NEFI
,,,460,ZSS AX 17800/B
,,,461,ZSS AX 17777/B
GOET,51.536678,9.93458,462,GOET
UEC,-22.806753,-47.069469,463,UEC
EAC,-3.7486,-38.575611,464,EAC
SRP,43.606,-116.2063,465,SRP
,,,466,MA(REAL JARDIN BOTANICO) (REAL JARDIN BOTANICO)
SCZ,9.06472,-79.642725,467,SCZ
OOM,35.015335,135.53241,468,OOM
,,,469,HMNM
IBE,0,0,470,IBE
GUAT,14.59691,-90.52997,471,GUAT
,,,472,HAL (NO. 075288) (NO.
,,,473,An-ji Bamb. Gard.
BERN,46.953,7.45104,474,BERN
,,,475,JBSD (69564) (69564)
TCD,53.343994,-6.251861,476,TCD
,,,477,Herb. Jenny
LIV,53.409359,-2.97855,478,LIV
SLO,48.146229,17.078932,479,SLO
,,,480,UNE
QRS,0,0,481,QRS
,,,482,HNAU
SDAU,36.200253,117.087614,483,SDAU
CANU,-43.527905,172.633545,484,CANU
JJT,29.7333,115.9844,485,JJT
IAC,-22.87054,-47.077104,486,IAC
,,,487,"Herb. of Inst. of Plateau Ecology, Tibet"
TULV,4.097413,-76.198318,488,TULV
,,,489,Northwest Institute of Bectang
MVFA,-34.89122,-56.072208,490,MVFA
UFP,-8.050259,-34.948623,491,UFP
XJBI,43.83308,87.575455,492,XJBI
HEH,14.58672,-87.824715,493,HEH
TEFH,14.091537,-87.198616,494,TEFH
JACA,42.541737,-0.596659,495,JACA
ANUB,31.354429,118.394058,496,ANUB
,,,497,YUNU
,,,498,Bet Herb. Wa
ZT,47.37632,8.547752,499,ZT
,,,500,herb. Matzke-Hajek
,,,501,herb. Weber
JE,50.92966,11.5902,502,JE
KA,54.871273,23.91054,503,KA
,,,504,herb. Wieland Schnedler
,,,505,WISC
,,,506,SWFE
GAUF,36.0564,103.7922,507,GAUF
KAS,51.280769,9.449335,508,KAS
ISTO,41.150002,29.033331,509,ISTO
,,,510,OSS
,,,511,Herb. Chonnam Univ.
PEM,39.989182,116.339653,512,PEM
,,,513,SIC
,,,514,PRG (PR?)
,,,515,GXFA
TUAT,35.641081,139.632139,516,TUAT
TNM,24.15732,120.683258,517,TNM
UFMT,-15.610911,-56.064106,518,UFMT
RO,41.901184,12.512421,519,RO
ZAU,30.13732,120.107193,520,ZAU
TFC,28.479167,-16.322778,521,TFC
KO,48.7356,21.2388,522,KO
LBV,0.418004,9.490379,523,LBV
,,,524,HERB. JENNY
GUA,0,0,525,GUA
BC,41.359089,2.15207,526,BC
BA,-34.605308,-58.43776,527,BA
GXNM,22.81707,108.365463,528,GXNM
LZ,51.33096,12.394093,529,LZ
,,,530,UNC
,,,531,Natural History Museum of Iran
,,,532,Herb. Podlech
MER,8.59833,-71.144997,533,MER
CVRD,-19.381836,-40.070129,534,CVRD
BRNU,49.1782533,16.5697175,535,BRNU
ALA,64.858009,-147.838211,536,ALA
NMC,32.28043078,-106.7513304,537,NMC
,,,538,HERB. G. B. HINTON
EU,30.57865,114.328934,539,EU
,,,540,Yongdeing Institute of Forest
O,59.882641,10.76813,541,O
,,,542,Herb. Lobin
,,,543,GAT TRI
,,,544,TRI TRI
,,,545,Herb. Pristina
,,,546,K (photo)
,,,547,L (photo)
CTESN,-27.466669,-58.833328,548,CTESN
,,,549,?CTES
HUT,-8.111261,-79.030267,550,HUT
Q,-0.12176,-78.465881,551,Q
,,,552,NDC
PRU,-25.755178,28.2356492,553,PRU
BHCB,-19.808043,-43.954781,554,BHCB
CEN,-15.746034,-47.912457,555,CEN
BRNM,49.182621,16.679131,556,BRNM
MCNS,-24.792185,-65.409836,557,MCNS
TK,56.489868,84.880714,558,TK
,,,559,G-Boiss
,,,560,WU-Hal
DSM,-6.780055,39.204653,561,DSM
UT,40.764087,-111.822694,562,UT
MPN,-40.355663,175.609573,563,MPN
,,,564,MGB
HPPR,22.411533,-83.668304,565,HPPR
NHT,-3.36667,36.683331,566,NHT
,,,567,Eco-environmental Institute of Liaoning University
MBML,-19.937421,-40.6007,568,MBML
DD,30.319902,77.997154,569,DD
RNG,51.437623,-0.942091,570,RNG
,,,571,IBG
,,,572,HE
,,,573,herb. Plocek
KAGS,31.560181,130.558136,574,KAGS
ECON,42.3790883,-71.1145949,575,ECON
KMG,-28.741083,24.765522,576,KMG
SVER,56.808571,60.60701,577,SVER
KANA,36.549889,136.722107,578,KANA
TOYA,36.680852,137.211869,579,TOYA
,,,580,Herb. Danton
,,,581,MPU-AfN
,,,582,MPU-Weiller
GZU,47.081249,15.459499,583,GZU
HAC,23.109936,-82.392775,584,HAC
LEA,49.69746,-112.848915,585,LEA
NASC,42.690357,-73.101616,586,NASC
,,,587,Agriculture Broome
,,,588,BCUGX
PSO,1.190978,-77.259285,589,PSO
FMB,4.46773,-74.124382,590,FMB
SUK,16.691759,74.258667,591,SUK
BSI,18.528481,73.88533,592,BSI
,,,593,BLATT
XALU,19.528755,-96.906487,594,XALU
,,,595,HPZB
FSU,30.440241,-84.293747,596,FSU
,,,597,"Herb. Institut des Régions Arides, Médenine"
COAH,4.70033,-74.113724,598,COAH
CGE,52.1947,0.127773,599,CGE
,,,600,"Herbarium, Korea Plant Research Institute"
MARE,41.00418,29.020276,601,MARE
TARI,35.723712,51.447966,602,TARI
,,,603,Soc. Éch. Pl. Vasc. Eur. Bass. Médit.
,,,604,LB
SIFS,30.99826,103.619347,605,SIFS
MISSA,33.457241,-88.784111,606,MISSA
SHST,30.707501,-95.5453,607,SHST
TAES,30.607281,-96.316521,608,TAES
TAMU,30.614775,-96.338956,609,TAMU
USCH,33.994943,-81.028102,610,USCH
,,,611,INBIO
AHMA,18.52017,73.830643,612,AHMA
,,,613,LE?
BHU,52.454254,13.473164,614,BHU
,,,615,Herb. Gangtok Forest Dept.
,,,616,Herb. National Sun Yat-Sen University
,,,617,Vietnam National University Herbarium
HNU,20.99588,105.807416,618,HNU
,,,619,Celal Bayar University
BEOU,44.812576,20.470509,620,BEOU
,,,621,HMD
,,,622,TEX (LL) (LL)
,,,623,NC
UNA,33.209335,-87.539314,624,UNA
WIN,49.8106,-97.1331,625,WIN
,,,626,Herb. Vasquezianum
HXBH,-19.836336,-43.941685,627,HXBH
,,,628,Herb. Ravenna
,,,629,JFC
MACB,40.44869,-3.726806,630,MACB
OSH,44.017761,-88.545097,631,OSH
,,,632,QC
CIB,19.528755,-96.906487,633,CIB
,,,634,USM (SPIRIT) (SPIRIT)
,,,635,Orchid Herbarium Tipi
,,,636,"herb. Botany Dept., Dayalbagh Educational Inst."
,,,637,COL?
LA,34.06702,-118.441391,638,LA
,,,639,Herb. J.-P. Demoly
CHSC,39.731073,-121.845471,640,CHSC
SMU,32.865479,-96.803963,641,SMU
,,,642,MOLDENKE
LUAI,-8.8383,13.2344,643,LUAI
LMU,-22.245384,35.309818,644,LMU
CAUP,2.455501,-76.610703,645,CAUP
,,,646,?
XZE,29.665107,94.346787,647,XZE
SAV,48.168743,17.07493,648,SAV
,,,649,CEPLAC
,,,650,Shenzhen Wutongshan Nurseries
,,,651,Shenzen Wutongshan Nurseries
,,,652,"Shenzhen Wutongshan NurseriesZhangping,"
,,,653,UB76
TAA,58.355649,26.679469,654,TAA
DES,33.460413,-111.947937,655,DES
,,,656,Herb. Harbin Normal Univ.
,,,657,AMZ
PDA,7.2622,80.584099,658,PDA
,,,659,NCBG
LPA,28.0658,-15.4594,660,LPA
HAW,21.3014,-157.815,661,HAW
UAS,24.800684,-107.396584,662,UAS
,,,663,ZSS AX
,,,664,ZSS A
NM,46.555103,-87.396362,665,NM
,,,666,SAN?
AHUC,38.499249,-121.759621,667,AHUC
,,,668,MNA 2256/B 12747
BEL,54.581738,-5.952744,669,BEL
SALA,40.964691,-5.67739,670,SALA
RHT,10.830622,78.695953,671,RHT
IPA,-8.066334,-34.918514,672,IPA
DAR,-33.328808,149.085297,673,DAR
,,,674,BL
RENO,39.537753,-119.811991,675,RENO
UTC,41.7432,-111.811,676,UTC
UVIC,48.4634067,-123.3116935,677,UVIC
RYU,26.21962,127.753868,678,RYU
TCF,24.096251,120.553818,679,TCF
,,,680,Herb. Korea Plant Research Institute
HUMO,18.97414,-99.237602,681,HUMO
KUH,24.943422,67.118373,682,KUH
,,,683,"Herb. Institutum Planta Generativum Plasma, Univ. Kyoto"
,,,684,"Herb. Inst. Plant Generativ. Plasma, Univ. Kyoto"
,,,685,BCC-Corm
FIAF,43.782078,11.220205,686,FIAF
PAV,45.185501,9.16274,687,PAV
WAN,-1.260685,116.829903,688,WAN
BOG,9.98372,-75.303139,689,BOG
TL,43.5939,1.44798,690,TL
LWG,26.841572,80.92984,691,LWG
,,,692,Khon Kaen University
VANF,38.557529,43.272751,693,VANF
,,,694,Herb. Tison
,,,695,Herb. Fac. Agron. Plovdiv
NU,-29.62575,30.40286,696,NU
MRSC,-15.547046,28.249468,697,MRSC
HUQ,4.51268,-75.688721,698,HUQ
,,,699,TO-HG
,,,700,Herb. J.-P.Demoly
ARUN,27.101568,93.631596,701,ARUN
GNUC,35.150261,128.110733,702,GNUC
GA,33.940811,-83.371429,703,GA
SNU,37.478409,126.951607,704,SNU
GFW,54.09417,13.36294,705,GFW
,,,706,Herb. Raabe
,,,707,Herb. Gottschlich
,,,708,KGU
KRAS,56.015141,92.855736,709,KRAS
,,,710,SSBG
,,,711,CA
,,,712,MOSC
SNP,6.018091,116.128738,713,SNP
,,,714,"Herb. Dept. biology, Dali Teachers College"
