code,lat,lng
SPI,45.0233,41.96307
SVER,56.808571,60.60701
KRF,56.001251,92.88559
VU,53.22345,36.768856
USPIY,57.630592,39.879105
SAKH,46.961262,142.731979
PERM,57.997799,56.18618
MOSP,55.815189,37.648933
KVCH,62.211479,34.26347
KURS,53.964081,54.409382
KEM,55.344479,86.084976
CHPU,55.071301,61.403049
BSU,50.59095,36.580502
SASY,62.02,129.730423
KRAS,56.015141,92.855736
HERZ,59.91674,30.28998
TVBG,56.8941,35.870651
YOLA,56.620678,47.89756
ABSM,35.999828,-78.945042
ORE,44.039974,-123.061615
LAGO,45.31345,-118.09137
MARO,45.398705,-122.650162
DERM,38.395557,-113.011986
OCNF,44.306839,-120.832176
WILLU,44.952,-123.024902
SLC,40.760151,-111.855591
TBPH,41.724998,44.790829
DENF,38.63866,-106.866524
OSMC,47.040222,-122.816464
MOC,44.847343,-123.237358
CNU,35.17931,126.897659
IDF,46.724262,-117.002846
WET,42.711506,-92.456619
IBE,0,0
BDWR,38.378757,-78.971542
LVNP,40.345375,-121.612473
SNC,44.440903,-88.090904
SICH,41.368832,-93.541016
OLV,42.43607,-84.92562
PGM,36.621918,-121.917435
HGCRL,30.43597,-88.731552
SPH,43.163345,-71.859856
RUPP,11.536613,104.901848
FULD,50.563023,9.676594
QAP,-0.229675,-78.524612
YAI,40.181129,44.513641
IEB,19.517342,-101.609863
BAG,33.316101,44.198299
KATO,40.992157,39.76004
CEDD,6.8561,7.3927
ALU,33.209782,-87.541245
KLH,53.986633,52.87767
KOELN,50.927711,6.92306
CSUH,55.178673,61.31538
ALBC,42.25074,-84.753021
HUS,55.89838,23.37583
GDMA,54.391342,18.62204
NRRL,40.708641,-89.613129
WSCH,42.132174,-72.797078
WSFA,39.445148,-83.816147
DEN,40.064335,-82.508736
PBL,11.63765,92.726105
VMIL,37.782566,-79.444138
PA,-2.420336,-54.740193
IRP,47.122532,-88.564552
KASSEL,51.313347,9.4976
SV,22.525696,-79.873199
DCR,54.073689,-0.95032
SPLT,33.585033,-102.377136
KIRI,41.485847,-71.522308
CHAP,19.496241,-98.891937
BFY,52.510223,-1.525613
SUN,54.903935,-1.380005
LIMFC,52.548866,-8.850742
RCAM,0,0
BAP,51.751233,-1.247434
OXD,51.75222,-1.25596
OXM,51.75222,-1.25596
LGO,41.010048,-73.9217
PTHL,56.400002,-3.43333
PRH,56.400002,-3.43333
PER,56.400002,-3.43333
MRI,56.400002,-3.43333
QMP,46.778587,-71.24456
RCN,54.073689,-0.95032
RIGG,56.94981,24.050262
WSM,51.345829,-2.96778
RUEB,47.376373,8.531567
AHS,30.282005,-97.734375
ASTN,53.488762,-2.0989
BUHR,53.680038,-0.43765
BUHGC,53.680038,-0.43765
BZ,-6.565512,106.838943
BEAN,56.150002,-3.95
BTT,52.807281,-1.64263
SFT,52.274399,0.861773
ICF,19.333359,-99.146202
FQH,50.7682,-103.792313
CSC,20.18819,-75.00708
LCS,0,0
ABDM,57.16647,-2.101874
NSCA,57.166481,-2.09718
ABI,5.34111,-4.02806
ABO,57.075459,-2.78023
ACC,51.599998,0.28333
ALK,55.400002,-1.7
ALN,55.400002,-1.7
ALT,51.543224,-0.102916
ALM,53.512768,-2.309479
USSC,35.198284,-101.835106
AMDE,52.59964,-1.355835
AC,42.384609,-72.524979
AMP,54.073689,-0.95032
ARBH,56.549999,-2.58333
ARMFN,54.287704,-6.68577
ARM,54.349541,-6.648754
SEFES,35.588959,-82.48716
GW,55.471266,-4.555737
NCCB,51.803513,-0.760205
BNFF,57.666672,-2.53333
BAE,51.26667,-1.08333
BATH,51.37944,-2.36556
ISIS,49.299999,10.525
BEDPL,51.547478,-0.049433
BFD,52.13459,-0.46632
BLT,54.59544,-5.934535
BFT,54.59544,-5.934535
BST,54.59544,-5.934535
BEV,52.69635,-0.30172
BHD,53.400002,-3.03333
BCTC,51.565929,-0.130008
BRMI,52.466671,-1.91667
BIM,52.466671,-1.91667
BCKN,53.92778,-0.91111
BOR,50.782059,-0.67978
BONB,53.532139,-2.33538
BONL,53.532139,-2.33538
BSTN,53.491707,-2.32898
SCB,3.9,17.933331
BDD,51.925098,-1.401149
